localidad,sex,age,violence,cruelty,gender,gender_2
USAQUEN,F,18,4.83,6.03,C,F
USAQUEN,M,18,3.55,1.68,C,H
KENNEDY,M,8,5.14,2.32,C,H
MARTIRES,F,17,5.62,3.38,C,F
KENNEDY,M,6,4.71,1.95,C,H
SUBA,F,5,0.45,4.75,C,F
SUBA,M,8,2.49,0.74,C,H
MARTIRES,X,28,3.93,7.78,T,F
USAQUEN,M,28,4.72,1.64,C,H
SUBA,M,24,5.33,0.9,C,H
MARTIRES,M,25,6.16,3.7,C,H
MARTIRES,M,46,3.7,1.87,C,H
USAQUEN,F,28,3.38,5.62,C,F
USAQUEN,M,36,3.49,2.2,C,H
SUBA,F,23,7.21,4.73,C,F
MARTIRES,F,10,3.54,5.62,C,F
MARTIRES,M,3,2.19,1.45,C,H
SUBA,M,47,2.75,1.94,C,H
SUBA,F,18,4.86,5.03,C,F
MARTIRES,F,15,6.86,3.31,C,F
USAQUEN,M,8,1.35,3.01,C,H
MARTIRES,M,27,6.97,2.08,C,H
SUBA,F,14,3.2,4.18,C,F
KENNEDY,M,67,3.23,0.68,C,H
KENNEDY,F,9,5.77,4.32,C,F
SUBA,F,6,2.45,1.77,C,F
KENNEDY,F,9,4.87,2.54,C,F
SUBA,F,2,2.08,4.72,C,F
SUBA,F,7,3.15,2.24,C,F
SUBA,F,21,7.88,5.8,C,F
SUBA,F,5,3.38,5.63,C,F
USAQUEN,M,38,4.3,2.21,C,H
SUBA,F,1,1.85,3.18,C,F
KENNEDY,F,7,5.24,2.24,C,F
MARTIRES,F,39,6.03,2.83,C,F
KENNEDY,F,13,7.08,4.48,C,F
MARTIRES,M,27,5.47,1.71,C,H
USAQUEN,F,22,6.59,4.69,C,F
SUBA,F,11,2.83,3.92,C,F
SUBA,F,14,3.72,4.18,C,F
SUBA,F,32,5.14,2.28,C,F
MARTIRES,F,28,6.74,4.85,C,F
SUBA,F,32,6.02,3.3,C,F
MARTIRES,F,26,5.57,5.64,C,F
MARTIRES,M,42,3.33,2.6,C,H
SUBA,F,22,2.96,5.11,C,F
SUBA,X,41,1.49,7.22,T,F
KENNEDY,M,12,6.79,0.58,C,H
KENNEDY,F,10,7.17,4.1,C,F
SUBA,M,2,4.28,3.53,C,H
SUBA,X,41,2.57,6.57,T,F
USAQUEN,M,26,5.54,3.04,C,H
MARTIRES,M,36,5.01,1.81,C,H
KENNEDY,F,21,7.61,4.13,C,F
KENNEDY,M,18,6.58,2.93,C,H
USAQUEN,F,18,3.42,6.17,C,F
USAQUEN,M,19,6.1,3.14,C,H
SUBA,M,16,6.5,2.79,C,H
USAQUEN,F,41,2.63,3.29,C,F
USAQUEN,F,21,4.29,5.01,C,F
SUBA,M,31,3.8,1.7,C,H
MARTIRES,M,2,2.04,1.51,C,H
KENNEDY,M,3,4.32,3.81,C,H
USAQUEN,F,25,3.42,5.76,C,F
MARTIRES,F,38,4.99,4.6,C,F
USAQUEN,M,36,4.93,2.1,C,H
KENNEDY,F,1,4.94,5.22,C,F
KENNEDY,F,3,4.87,5.19,C,F
KENNEDY,F,23,7.21,6.99,C,F
SUBA,F,44,3.39,3.89,C,F
KENNEDY,M,23,7.04,5.2,C,H
KENNEDY,F,26,5.77,6.14,C,F
MARTIRES,M,6,5.32,2.35,C,H
KENNEDY,F,10,5.6,4.52,C,F
KENNEDY,M,13,5.49,2.18,C,H
MARTIRES,F,11,4.47,1.63,C,F
USAQUEN,M,24,6.03,3.71,C,H
KENNEDY,M,40,4.93,3.5,C,H
MARTIRES,M,20,6.99,3.43,C,H
SUBA,F,26,6.44,6.2,C,F
SUBA,F,26,6.06,4.69,C,F
SUBA,F,25,5.16,3.24,C,F
USAQUEN,M,11,4.36,3.87,C,H
USAQUEN,F,4,1.7,4.07,C,F
KENNEDY,M,4,4.86,2.9,C,H
MARTIRES,M,57,5.01,1.84,C,H
SUBA,F,26,3.27,3.65,C,F
USAQUEN,F,37,3.86,2.95,C,F
SUBA,M,2,3.27,3.09,C,H
SUBA,M,15,6.27,4.63,C,H
KENNEDY,F,24,8.94,6.22,C,F
KENNEDY,M,42,4.87,1.82,C,H
SUBA,F,52,3.76,2.49,C,F
USAQUEN,M,46,2.73,1.98,C,H
SUBA,F,27,5.13,4.47,C,F
KENNEDY,M,2,3.4,0.02,C,H
SUBA,M,7,3.7,2.63,C,H
KENNEDY,F,22,6.72,5.77,C,F
USAQUEN,F,17,6.24,6.64,C,F
MARTIRES,F,33,4.83,2.22,C,F
USAQUEN,F,51,3.35,3.73,C,F
USAQUEN,F,5,1.76,3.87,C,F
SUBA,F,27,5.36,4.57,C,F
MARTIRES,F,31,5.21,4.24,C,F
USAQUEN,M,34,3.54,1.39,C,H
MARTIRES,M,15,6.94,3.19,C,H
SUBA,F,11,3.59,2.27,C,F
MARTIRES,F,20,6.86,6.02,C,F
USAQUEN,F,20,5.73,6.09,C,F
SUBA,M,40,3.69,3.41,C,H
SUBA,M,29,5.57,3.64,C,H
KENNEDY,F,11,6.06,3.39,C,F
MARTIRES,F,42,5.55,3.64,C,F
KENNEDY,M,24,7.73,2.33,C,H
MARTIRES,F,40,4.17,5.52,C,F
USAQUEN,M,20,5.57,1.98,C,H
USAQUEN,F,3,1.8,3.42,C,F
KENNEDY,M,48,5.39,2.05,C,H
MARTIRES,F,32,5.8,2.26,C,F
KENNEDY,F,17,8.73,5.03,C,F
USAQUEN,M,13,2.36,1.3,C,H
MARTIRES,F,7,2.97,3.42,C,F
SUBA,F,2,3.64,5.34,C,F
USAQUEN,X,33,4.02,6.65,T,F
USAQUEN,F,31,3.94,3.03,C,F
SUBA,F,33,4.38,4.22,C,F
MARTIRES,F,26,6.26,3.99,C,F
SUBA,M,15,6.24,2.04,C,H
SUBA,M,6,2.63,2.29,C,H
KENNEDY,M,38,6.86,3.02,C,H
MARTIRES,M,40,3.92,1.22,C,H
SUBA,M,28,4.56,3.19,C,H
MARTIRES,F,31,6.26,4.09,C,F
SUBA,M,4,1.77,2.1,C,H
KENNEDY,F,37,6.83,4.36,C,F
MARTIRES,M,37,5.79,1.29,C,H
KENNEDY,M,21,7.98,2.52,C,H
MARTIRES,M,33,6.18,3.46,C,H
MARTIRES,F,5,4.6,4.24,C,F
KENNEDY,M,1,4.62,1.4,C,H
KENNEDY,F,6,4.27,4.52,C,F
KENNEDY,F,19,8.51,6.49,C,F
SUBA,M,3,2.61,1.15,C,H
USAQUEN,M,25,5.98,3.0,C,H
MARTIRES,M,11,3.65,3.57,C,H
USAQUEN,F,5,2.39,3.97,C,F
MARTIRES,M,27,4.71,3.89,C,H
KENNEDY,X,35,5.6,7.17,T,F
SUBA,F,20,4.88,6.03,C,F
USAQUEN,M,32,4.25,2.43,C,H
SUBA,M,48,1.79,2.45,C,H
USAQUEN,M,31,3.94,2.02,C,H
MARTIRES,M,14,5.57,2.36,C,H
SUBA,F,8,3.28,4.83,C,F
SUBA,F,18,5.64,6.93,C,F
USAQUEN,F,28,5.2,5.98,C,F
SUBA,F,7,2.25,3.33,C,F
USAQUEN,M,12,2.24,2.02,C,H
SUBA,F,28,4.71,5.53,C,F
SUBA,M,6,3.57,1.44,C,H
USAQUEN,F,3,2.13,2.25,C,F
KENNEDY,M,14,7.07,3.21,C,H
MARTIRES,F,26,5.06,3.75,C,F
KENNEDY,F,9,5.74,4.39,C,F
SUBA,X,63,0.28,4.73,T,F
USAQUEN,F,27,3.62,4.35,C,F
KENNEDY,F,10,4.65,4.12,C,F
SUBA,F,15,6.16,3.44,C,F
SUBA,M,14,5.23,2.86,C,H
USAQUEN,M,20,4.25,3.24,C,H
SUBA,F,24,6.46,4.77,C,F
KENNEDY,F,14,4.94,5.16,C,F
KENNEDY,F,9,4.64,5.32,C,F
USAQUEN,M,42,1.89,0.81,C,H
KENNEDY,M,40,6.68,1.72,C,H
SUBA,M,40,4.6,0.98,C,H
KENNEDY,F,25,6.76,4.24,C,F
USAQUEN,M,20,5.45,1.93,C,H
MARTIRES,F,41,4.09,4.38,C,F
KENNEDY,F,38,7.93,3.04,C,F
USAQUEN,F,14,3.54,2.34,C,F
SUBA,M,20,6.07,4.23,C,H
MARTIRES,F,11,5.85,3.02,C,F
SUBA,F,16,6.61,5.77,C,F
USAQUEN,F,18,5.85,4.11,C,F
KENNEDY,M,31,6.21,1.29,C,H
KENNEDY,F,31,7.56,2.57,C,F
SUBA,F,12,3.61,4.18,C,F
MARTIRES,F,33,5.0,4.07,C,F
USAQUEN,F,2,0.95,4.91,C,F
KENNEDY,F,30,5.91,2.96,C,F
SUBA,M,30,5.61,2.14,C,H
USAQUEN,F,20,5.09,4.6,C,F
USAQUEN,F,60,0.03,2.15,C,F
KENNEDY,F,31,5.52,4.23,C,F
KENNEDY,M,24,6.4,0.87,C,H
SUBA,F,28,5.34,4.98,C,F
KENNEDY,F,16,8.68,4.16,C,F
USAQUEN,M,18,4.06,3.41,C,H
SUBA,X,30,3.85,6.88,T,F
USAQUEN,F,27,4.55,4.74,C,F
SUBA,M,14,4.34,2.56,C,H
MARTIRES,F,33,5.83,4.01,C,F
USAQUEN,F,13,4.77,3.16,C,F
MARTIRES,M,6,3.03,2.13,C,H
KENNEDY,M,5,5.17,2.74,C,H
KENNEDY,M,33,8.4,1.93,C,H
USAQUEN,F,28,3.51,3.55,C,F
USAQUEN,F,26,4.22,5.37,C,F
MARTIRES,M,2,3.27,4.36,C,H
MARTIRES,F,10,4.52,3.71,C,F
SUBA,F,3,5.17,4.07,C,F
MARTIRES,F,33,6.45,2.58,C,F
USAQUEN,M,19,5.54,4.06,C,H
MARTIRES,F,29,7.83,4.45,C,F
KENNEDY,F,21,9.83,6.29,C,F
SUBA,F,42,4.36,6.39,C,F
MARTIRES,M,22,7.2,3.79,C,H
KENNEDY,F,15,7.4,3.95,C,F
SUBA,M,6,3.15,0.89,C,H
USAQUEN,F,33,4.93,3.59,C,F
MARTIRES,F,18,8.0,5.31,C,F
SUBA,M,7,4.04,2.0,C,H
KENNEDY,M,31,6.54,1.81,C,H
MARTIRES,F,16,6.86,5.5,C,F
SUBA,X,27,4.54,5.42,T,F
KENNEDY,F,18,7.8,5.02,C,F
KENNEDY,F,18,7.42,4.68,C,F
SUBA,F,42,2.72,3.23,C,F
SUBA,F,1,4.07,2.83,C,F
SUBA,F,14,4.32,3.14,C,F
MARTIRES,M,19,7.47,4.29,C,H
MARTIRES,F,29,6.0,4.5,C,F
KENNEDY,M,12,5.42,0.78,C,H
USAQUEN,F,15,3.95,4.63,C,F
USAQUEN,F,39,4.87,3.65,C,F
USAQUEN,F,15,6.36,5.5,C,F
SUBA,F,27,4.98,5.87,C,F
SUBA,F,11,4.31,3.81,C,F
MARTIRES,F,26,5.69,3.87,C,F
SUBA,F,43,1.24,3.68,C,F
KENNEDY,F,27,5.13,5.55,C,F
SUBA,M,9,2.09,1.28,C,H
KENNEDY,M,31,5.61,0.54,C,H
USAQUEN,F,21,5.59,5.63,C,F
SUBA,F,19,5.95,4.08,C,F
MARTIRES,F,58,2.89,1.52,C,F
MARTIRES,M,16,6.25,3.21,C,H
MARTIRES,F,4,3.98,3.58,C,F
MARTIRES,M,29,4.79,2.9,C,H
SUBA,X,47,4.19,7.8,T,F
USAQUEN,M,34,2.76,3.13,C,H
USAQUEN,M,23,5.24,3.69,C,H
USAQUEN,M,5,3.17,1.64,C,H
USAQUEN,F,2,1.43,3.47,C,F
USAQUEN,M,25,3.23,3.13,C,H
KENNEDY,M,15,8.37,3.44,C,H
SUBA,F,19,6.51,5.08,C,F
USAQUEN,F,23,5.13,5.49,C,F
SUBA,F,31,4.38,4.29,C,F
MARTIRES,F,53,4.39,4.42,C,F
KENNEDY,M,8,2.13,1.3,C,H
KENNEDY,F,18,7.22,4.52,C,F
MARTIRES,M,48,3.98,1.51,C,H
USAQUEN,F,28,4.48,6.14,C,F
SUBA,F,11,3.24,4.12,C,F
SUBA,F,9,5.0,4.78,C,F
KENNEDY,M,19,8.77,3.09,C,H
KENNEDY,F,41,3.07,6.03,C,F
USAQUEN,M,13,4.08,2.47,C,H
SUBA,M,27,5.08,3.05,C,H
MARTIRES,M,22,6.41,1.95,C,H
KENNEDY,M,2,5.69,3.95,C,H
MARTIRES,F,18,6.81,6.12,C,F
SUBA,M,23,6.23,2.95,C,H
USAQUEN,F,5,0.69,2.12,C,F
USAQUEN,M,10,3.27,1.12,C,H
KENNEDY,F,26,6.89,5.01,C,F
USAQUEN,F,38,3.58,3.55,C,F
SUBA,M,10,3.85,1.71,C,H
KENNEDY,F,15,8.71,4.38,C,F
SUBA,F,27,5.17,5.24,C,F
KENNEDY,F,32,7.52,4.75,C,F
SUBA,M,32,6.11,1.61,C,H
MARTIRES,F,41,4.24,4.09,C,F
USAQUEN,M,29,4.97,3.57,C,H
KENNEDY,F,44,6.81,3.35,C,F
KENNEDY,F,22,6.95,4.52,C,F
MARTIRES,M,32,5.92,0.49,C,H
MARTIRES,M,23,6.94,2.45,C,H
SUBA,F,28,3.7,4.27,C,F
KENNEDY,M,24,8.14,2.77,C,H
USAQUEN,F,7,2.51,4.67,C,F
USAQUEN,F,19,5.61,5.81,C,F
KENNEDY,X,44,4.19,4.96,T,F
KENNEDY,F,9,6.15,3.44,C,F
SUBA,F,38,2.67,4.19,C,F
SUBA,M,46,2.61,3.81,C,H
SUBA,X,58,4.21,6.12,T,F
MARTIRES,M,25,5.03,2.41,C,H
SUBA,F,22,5.16,4.87,C,F
KENNEDY,F,20,7.33,4.55,C,F
KENNEDY,M,11,5.48,1.8,C,H
MARTIRES,M,20,7.23,3.67,C,H
MARTIRES,M,24,7.45,3.66,C,H
USAQUEN,X,41,1.53,3.85,T,F
USAQUEN,F,27,4.9,5.42,C,F
MARTIRES,F,13,6.27,3.37,C,F
KENNEDY,F,31,6.54,3.76,C,F
MARTIRES,F,9,4.79,4.0,C,F
KENNEDY,M,45,2.72,3.29,C,H
USAQUEN,M,15,3.9,3.1,C,H
MARTIRES,M,22,7.44,4.0,C,H
MARTIRES,F,6,5.95,5.88,C,F
USAQUEN,M,19,4.53,2.99,C,H
SUBA,F,32,5.67,3.42,C,F
SUBA,M,23,4.5,3.01,C,H
KENNEDY,F,15,7.78,3.12,C,F
MARTIRES,M,19,9.03,3.95,C,H
MARTIRES,F,23,8.19,4.03,C,F
KENNEDY,F,25,7.44,5.4,C,F
USAQUEN,M,7,3.36,2.59,C,H
MARTIRES,F,9,4.81,4.44,C,F
USAQUEN,F,19,4.41,4.74,C,F
SUBA,F,46,4.18,1.62,C,F
USAQUEN,F,7,3.17,4.45,C,F
MARTIRES,M,23,5.41,4.0,C,H
SUBA,F,34,4.41,6.22,C,F
USAQUEN,M,7,1.11,2.3,C,H
USAQUEN,M,16,5.02,4.28,C,H
KENNEDY,F,12,6.35,3.25,C,F
MARTIRES,M,7,3.88,0.19,C,H
USAQUEN,F,1,1.56,2.09,C,F
KENNEDY,M,17,8.75,2.42,C,H
USAQUEN,M,23,5.21,4.47,C,H
MARTIRES,F,19,6.35,4.01,C,F
KENNEDY,M,18,6.79,2.45,C,H
USAQUEN,F,15,5.04,3.93,C,F
USAQUEN,F,13,5.47,5.64,C,F
KENNEDY,F,10,4.48,4.97,C,F
USAQUEN,F,21,6.04,5.68,C,F
MARTIRES,F,21,6.57,4.98,C,F
USAQUEN,M,1,3.43,3.16,C,H
USAQUEN,F,9,2.5,2.47,C,F
KENNEDY,F,12,7.58,3.15,C,F
USAQUEN,F,36,4.45,3.19,C,F
MARTIRES,M,32,4.41,1.96,C,H
KENNEDY,M,23,6.73,3.89,C,H
USAQUEN,F,9,2.52,5.11,C,F
SUBA,F,34,5.74,4.09,C,F
KENNEDY,X,15,7.16,5.73,T,F
KENNEDY,F,32,8.63,4.73,C,F
USAQUEN,M,10,1.5,1.98,C,H
MARTIRES,F,7,3.21,2.61,C,F
KENNEDY,M,19,7.13,1.22,C,H
KENNEDY,M,26,7.43,4.26,C,H
MARTIRES,M,19,7.1,5.51,C,H
USAQUEN,F,32,4.75,4.89,C,F
MARTIRES,X,49,4.43,6.17,T,F
SUBA,F,31,4.38,2.63,C,F
SUBA,F,31,4.62,3.24,C,F
KENNEDY,F,13,4.83,2.99,C,F
MARTIRES,F,1,5.6,3.5,C,F
USAQUEN,F,16,4.6,2.8,C,F
KENNEDY,F,27,7.62,5.11,C,F
SUBA,M,12,3.49,1.9,C,H
SUBA,F,24,5.91,3.72,C,F
KENNEDY,F,20,6.79,6.01,C,F
SUBA,M,14,5.36,1.99,C,H
SUBA,F,16,8.17,4.06,C,F
USAQUEN,F,8,2.2,4.2,C,F
MARTIRES,M,40,1.6,2.02,C,H
MARTIRES,F,19,5.96,7.06,C,F
MARTIRES,F,15,7.95,6.14,C,F
MARTIRES,M,9,3.94,3.54,C,H
KENNEDY,F,22,8.56,4.48,C,F
SUBA,F,33,3.65,5.49,C,F
USAQUEN,F,34,2.89,4.5,C,F
MARTIRES,M,11,5.79,2.78,C,H
MARTIRES,M,12,3.63,2.95,C,H
KENNEDY,M,7,5.85,0.37,C,H
KENNEDY,F,14,7.47,3.35,C,F
KENNEDY,X,35,6.75,4.68,T,F
KENNEDY,M,14,6.33,1.55,C,H
USAQUEN,F,1,1.87,3.84,C,F
SUBA,M,17,5.29,4.55,C,H
USAQUEN,F,29,3.52,6.44,C,F
KENNEDY,F,25,6.92,5.23,C,F
KENNEDY,F,55,3.23,1.93,C,F
MARTIRES,M,8,4.77,2.67,C,H
USAQUEN,M,28,4.54,4.25,C,H
SUBA,F,20,7.51,4.62,C,F
MARTIRES,F,28,5.64,4.51,C,F
USAQUEN,F,14,2.88,3.74,C,F
USAQUEN,F,15,6.33,5.25,C,F
SUBA,F,47,5.45,4.96,C,F
KENNEDY,M,5,4.57,2.19,C,H
SUBA,F,27,3.17,6.43,C,F
USAQUEN,F,15,4.19,4.69,C,F
KENNEDY,F,37,8.34,2.98,C,F
SUBA,F,21,5.99,4.75,C,F
MARTIRES,X,12,5.25,5.46,T,F
MARTIRES,M,4,4.18,1.67,C,H
MARTIRES,F,12,4.04,3.31,C,F
USAQUEN,M,29,4.44,3.24,C,H
USAQUEN,F,19,3.88,6.02,C,F
KENNEDY,F,11,6.44,4.64,C,F
USAQUEN,F,12,4.38,3.81,C,F
USAQUEN,F,15,4.6,3.55,C,F
SUBA,F,31,4.61,3.94,C,F
USAQUEN,M,16,4.27,0.99,C,H
SUBA,M,24,4.77,1.23,C,H
SUBA,M,28,4.42,4.15,C,H
USAQUEN,F,38,2.58,3.81,C,F
SUBA,M,27,5.96,3.78,C,H
MARTIRES,M,17,7.64,3.42,C,H
USAQUEN,F,29,6.07,7.11,C,F
USAQUEN,F,21,4.57,5.75,C,F
KENNEDY,F,33,5.4,4.06,C,F
USAQUEN,M,17,4.72,2.33,C,H
USAQUEN,M,13,0.67,3.04,C,H
KENNEDY,F,31,7.07,4.22,C,F
MARTIRES,F,36,6.97,3.11,C,F
SUBA,F,36,5.78,4.55,C,F
USAQUEN,F,29,5.79,4.5,C,F
SUBA,F,43,2.72,1.92,C,F
SUBA,F,1,2.21,5.54,C,F
USAQUEN,F,14,3.61,4.34,C,F
MARTIRES,F,21,9.23,6.48,C,F
SUBA,F,10,3.24,1.25,C,F
SUBA,F,30,5.3,4.03,C,F
USAQUEN,F,28,4.35,3.67,C,F
SUBA,M,13,4.81,3.69,C,H
SUBA,M,32,5.73,2.77,C,H
SUBA,M,11,3.0,2.44,C,H
USAQUEN,X,32,2.31,4.76,T,F
KENNEDY,M,14,7.04,3.26,C,H
MARTIRES,F,7,3.8,3.9,C,F
SUBA,F,32,2.91,3.93,C,F
MARTIRES,M,5,4.71,3.53,C,H
USAQUEN,M,30,4.36,2.5,C,H
KENNEDY,F,13,4.69,4.34,C,F
KENNEDY,M,1,6.6,1.23,C,H
USAQUEN,M,9,1.03,3.36,C,H
MARTIRES,F,19,6.26,3.35,C,F
USAQUEN,F,34,4.22,3.51,C,F
KENNEDY,F,15,8.62,3.94,C,F
KENNEDY,F,21,7.74,6.71,C,F
USAQUEN,F,13,2.67,5.16,C,F
KENNEDY,M,27,6.8,3.0,C,H
